model-1588398318,1588398319.924,0.6,0.2447,0.6,0.2449
model-1588398318,1588398319.951,0.56,0.2438,0.68,0.2331
model-1588398318,1588398319.978,0.59,0.2475,0.62,0.238
model-1588398318,1588398320.008,0.55,0.243,0.57,0.2434
model-1588398318,1588398320.035,0.67,0.235,0.64,0.2329
model-1588398318,1588398320.062,0.6,0.2403,0.56,0.2453
model-1588398318,1588398320.088,0.61,0.2429,0.62,0.2367
model-1588398318,1588398320.118,0.64,0.2343,0.54,0.2514
model-1588398318,1588398320.145,0.5,0.2458,0.66,0.2325
model-1588398318,1588398320.171,0.53,0.2402,0.63,0.2351
model-1588398318,1588398320.201,0.6,0.2386,0.6,0.2404
model-1588398318,1588398320.234,0.56,0.2422,0.55,0.246
model-1588398318,1588398320.261,0.58,0.2434,0.61,0.2407
model-1588398318,1588398320.288,0.56,0.2447,0.64,0.2321
model-1588398318,1588398320.315,0.62,0.2395,0.69,0.2205
model-1588398318,1588398320.345,0.65,0.2292,0.62,0.2277
model-1588398318,1588398320.372,0.52,0.2544,0.46,0.2597
model-1588398318,1588398320.399,0.64,0.2202,0.64,0.22
model-1588398318,1588398320.425,0.52,0.2441,0.61,0.2328
model-1588398318,1588398320.455,0.53,0.2452,0.56,0.2451
model-1588398318,1588398320.481,0.53,0.2409,0.58,0.2328
model-1588398318,1588398320.508,0.5,0.2543,0.58,0.2361
model-1588398318,1588398320.539,0.56,0.2454,0.51,0.2428
model-1588398318,1588398320.569,0.57,0.2359,0.71,0.222
model-1588398318,1588398320.595,0.69,0.2186,0.62,0.228
model-1588398318,1588398320.622,0.62,0.2294,0.66,0.2242
model-1588398318,1588398320.649,0.53,0.248,0.61,0.2324
model-1588398318,1588398320.679,0.54,0.2499,0.66,0.2315
model-1588398318,1588398320.706,0.6,0.2363,0.64,0.2298
model-1588398318,1588398320.736,0.55,0.2385,0.52,0.2324
model-1588398318,1588398320.762,0.62,0.2336,0.56,0.2422
model-1588398318,1588398320.792,0.58,0.2466,0.54,0.245
model-1588398318,1588398320.819,0.55,0.2443,0.68,0.2188
model-1588398318,1588398320.846,0.63,0.2311,0.6,0.234
model-1588398318,1588398320.873,0.62,0.2276,0.56,0.2297
model-1588398318,1588398320.904,0.54,0.2465,0.59,0.2336
model-1588398318,1588398320.932,0.56,0.2377,0.58,0.2383
model-1588398318,1588398320.959,0.6,0.2346,0.58,0.2372
model-1588398318,1588398320.986,0.68,0.2266,0.73,0.2069
model-1588398318,1588398321.015,0.56,0.243,0.61,0.2287
